distance_km,hour,day_of_week,road_type,historical_speed,traffic_multiplier
8.98,17,3,1,37.35,2.04
16.71,0,3,0,28.17,1.18
14.73,2,6,0,41.45,1.0
4.53,21,0,0,41.26,1.19
16.8,5,6,0,40.51,1.08
16.04,2,3,0,31.07,1.11
2.55,13,0,0,66.19,1.0
9.73,8,4,0,42.04,1.67
9.18,21,4,1,24.13,1.47
12.76,11,6,1,73.38,1.38
4.99,21,6,1,69.65,1.35
8.3,20,4,1,53.78,1.4
8.78,14,0,0,27.35,1.0
1.14,19,3,0,77.74,1.0
1.35,13,3,0,57.39,1.05
19.87,20,1,1,66.45,1.35
8.67,23,6,0,77.25,1.0
14.54,11,5,0,21.32,1.0
18.75,0,2,0,21.83,1.16
13.66,1,6,1,60.51,1.49
15.57,2,1,0,31.89,1.12
13.18,15,2,0,22.48,1.1
16.69,5,6,1,63.07,1.43
8.68,0,1,1,53.88,1.42
6.2,14,1,1,54.88,1.46
16.01,16,3,0,26.8,1.16
3.42,15,4,0,38.15,1.17
19.61,2,6,1,48.83,1.45
18.5,13,4,1,29.44,1.31
1.87,7,1,1,79.8,1.38
1.64,10,1,0,47.39,1.04
1.89,6,6,0,57.74,1.12
1.5,19,4,0,67.91,1.0
6.81,19,6,0,34.3,1.0
10.3,8,4,1,22.06,1.96
1.84,11,5,1,57.64,1.47
13.7,5,0,0,42.0,1.11
10.54,7,6,0,78.76,1.0
9.87,0,3,0,39.36,1.0
8.75,18,4,1,27.87,1.92
3.76,13,2,0,60.28,1.05
4.65,7,3,0,68.38,1.0
10.86,4,4,1,71.95,1.26
3.93,0,2,1,59.18,1.16
10.22,23,5,0,44.71,1.16
16.12,15,3,0,43.77,1.2
10.4,22,0,0,78.82,1.15
4.09,15,0,0,53.59,1.15
17.74,6,4,0,37.02,1.2
18.33,7,3,0,52.54,1.0
14.54,0,6,0,33.13,1.02
7.86,21,4,0,24.94,1.0
8.6,10,5,1,43.91,1.23
19.25,16,4,1,37.51,1.43
13.54,14,6,0,61.6,1.0
18.54,3,1,1,27.01,1.38
11.24,9,2,1,68.37,2.1
8.21,10,4,1,70.48,1.28
13.92,22,0,0,63.09,1.05
15.1,21,0,1,67.11,1.46
7.18,23,0,0,25.79,1.01
4.72,7,5,0,27.97,1.0
11.73,11,5,0,37.04,1.0
11.47,15,3,1,64.99,1.41
2.4,14,5,0,46.26,1.17
16.65,3,4,0,64.4,1.08
9.2,11,0,0,77.87,1.1
16.65,14,0,1,62.9,1.36
12.22,16,2,0,59.33,1.07
16.97,15,0,1,62.84,1.36
10.1,17,4,0,27.71,1.67
18.8,8,6,0,30.43,1.73
4.15,12,2,0,31.83,1.06
8.69,0,2,1,46.85,1.24
12.88,12,4,1,35.44,1.38
15.9,13,0,1,20.59,1.44
17.63,8,3,1,32.7,1.77
8.33,23,3,0,79.21,1.07
7.12,3,1,0,42.13,1.07
13.13,2,6,1,71.7,1.49
9.2,22,1,0,58.77,1.0
5.97,15,4,1,78.62,1.45
9.59,1,3,0,50.39,1.12
3.44,22,3,1,77.32,1.4
16.71,0,4,0,74.62,1.16
19.51,9,1,1,73.49,1.79
16.31,2,1,1,55.64,1.37
11.19,18,5,0,29.8,1.57
16.03,5,3,0,62.39,1.0
16.49,11,4,0,55.8,1.03
10.71,20,5,0,29.43,1.0
19.72,9,5,1,45.42,1.84
14.21,0,4,0,58.07,1.02
3.55,8,0,0,25.08,1.87
16.78,5,2,0,41.32,1.11
10.55,10,5,1,47.89,1.32
1.95,10,0,0,23.46,1.0
19.56,13,0,0,35.46,1.17
6.29,15,5,1,56.76,1.22
5.08,17,0,1,21.68,1.94
6.97,17,6,1,77.58,1.87
11.97,18,0,1,46.54,1.73
3.66,15,2,0,73.97,1.0
18.81,13,2,0,26.28,1.0
7.98,0,0,1,31.91,1.47
19.4,6,3,1,76.71,1.38
2.55,18,5,0,46.49,1.6
6.92,12,0,0,43.12,1.0
6.56,10,0,1,65.12,1.34
5.04,0,5,0,70.84,1.01
6.37,20,2,1,61.83,1.23
15.46,9,4,0,45.2,1.86
6.58,2,5,1,53.52,1.47
19.51,4,4,0,77.87,1.17
14.38,12,3,1,25.91,1.26
11.68,4,6,1,55.95,1.26
9.92,18,6,1,22.7,2.07
9.51,22,0,0,57.95,1.02
4.96,19,6,1,33.03,1.5
18.43,21,3,0,66.56,1.0
8.11,15,5,1,31.55,1.45
3.4,0,1,0,50.66,1.12
16.34,0,4,0,42.87,1.0
19.12,22,1,0,29.13,1.0
11.77,5,3,0,23.37,1.11
4.18,17,6,0,31.94,1.5
13.24,23,4,1,38.24,1.45
2.33,18,0,0,28.25,1.69
17.87,8,0,0,35.07,1.59
19.18,8,6,0,70.56,1.55
16.97,15,0,1,76.72,1.2
8.51,14,6,1,65.33,1.18
2.89,15,3,0,68.83,1.05
18.37,7,1,1,39.01,1.32
10.05,8,4,0,57.67,1.59
3.36,4,0,1,67.59,1.45
1.68,10,5,1,46.34,1.27
4.45,12,2,1,30.27,1.24
3.91,14,5,1,31.17,1.28
1.25,22,3,1,36.54,1.23
3.52,2,1,1,30.57,1.33
19.42,12,4,0,43.12,1.0
19.09,15,2,1,78.41,1.43
16.34,12,6,1,28.54,1.44
14.06,7,3,0,26.65,1.11
10.9,0,1,0,66.57,1.19
18.36,16,4,1,78.39,1.29
5.27,3,0,0,61.46,1.0
12.76,8,5,0,70.22,1.87
14.57,14,0,1,30.13,1.39
7.28,20,2,1,49.23,1.3
13.64,23,4,0,75.04,1.07
15.94,10,3,0,60.17,1.1
2.6,23,2,1,52.03,1.29
2.86,1,2,1,26.76,1.47
15.33,3,6,0,50.6,1.05
9.4,16,2,1,60.73,1.32
10.25,10,6,0,67.86,1.19
8.76,18,1,0,42.54,1.44
13.5,20,1,0,66.73,1.08
15.43,14,5,1,41.76,1.17
1.08,16,5,0,58.88,1.0
4.15,16,6,1,78.48,1.38
15.84,0,6,1,54.14,1.29
8.32,2,2,0,36.98,1.08
2.52,10,3,0,57.23,1.0
17.44,22,3,0,75.68,1.0
2.46,4,0,1,58.38,1.33
16.3,15,1,1,60.02,1.43
2.07,5,2,0,27.79,1.06
6.14,20,1,0,71.62,1.17
10.79,12,4,0,33.89,1.0
19.03,9,6,0,72.83,1.95
17.18,22,3,1,58.27,1.24
2.63,11,1,0,24.6,1.12
1.38,12,3,1,52.37,1.29
18.14,8,2,1,55.28,1.9
17.49,20,5,1,43.4,1.33
11.28,7,4,0,78.48,1.12
15.41,7,6,0,56.83,1.08
8.57,2,3,0,36.09,1.07
6.84,1,4,0,54.78,1.0
16.64,3,4,0,64.0,1.19
1.84,18,1,0,23.41,1.68
6.44,7,0,0,72.4,1.1
11.71,23,0,1,49.2,1.46
15.29,11,2,0,50.13,1.07
18.81,6,5,1,21.94,1.29
8.33,13,3,0,32.57,1.13
13.65,12,3,1,51.79,1.44
12.37,0,6,0,40.17,1.0
18.59,15,6,1,37.78,1.39
16.3,0,5,1,59.79,1.22
6.86,12,1,0,24.26,1.05
19.17,23,4,1,35.36,1.37
2.46,13,2,1,24.98,1.55
8.59,1,3,1,46.89,1.37
19.57,23,5,1,37.47,1.31
18.53,8,2,1,73.71,2.04
13.77,20,2,1,77.44,1.26
8.91,16,5,1,39.39,1.36
15.1,20,1,0,45.42,1.0
5.19,17,5,1,55.12,2.0
9.96,18,2,0,73.14,1.61
19.68,20,3,0,36.09,1.0
11.15,3,3,0,70.96,1.2
8.66,23,6,1,38.89,1.43
12.8,15,2,1,45.65,1.16
16.78,21,3,0,62.61,1.13
1.11,12,2,1,75.6,1.34
14.58,11,0,0,56.85,1.0
6.26,8,3,0,75.57,1.79
2.54,4,0,1,54.79,1.3
12.73,3,6,1,52.18,1.49
5.68,5,5,1,30.35,1.3
