origin_lat,origin_lng,dest_lat,dest_lng,origin_city,dest_city,distance_km,free_flow_time_seconds,traffic_time_seconds,multiplier,hour,day_of_week,is_weekend,is_peak_hour,traffic_model,cluster_type,timestamp
13.0833,79.6667,12.7094,80.0016,"Ranipet","Chengalpattu",77.981,7668,7873,1.027,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.802,80.021,"Ranipet","Chengalpattu",69.672,6706,6536,0.975,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.8342,79.7036,"Ranipet","Kanchipuram",30.018,2944,3210,1.09,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.9267,79.3333,"Ranipet","Ranipet",67.801,4654,4628,0.994,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.6833,79.9833,"Ranipet","Chengalpattu",70.756,6530,6726,1.03,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.8441,80.0592,"Ranipet","Chengalpattu",87.332,6938,6814,0.982,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,13.1433,79.91,"Ranipet","Thiruvallur",33.71,3229,3379,1.046,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.9667,79.95,"Ranipet","Kanchipuram",44.368,4743,4657,0.982,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,10.8833,79.6167,"Ranipet","Tiruvarur",297.359,21508,21286,0.99,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,13.0833,79.6667,"Chengalpattu","Ranipet",85.488,7483,7208,0.963,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,12.802,80.021,"Chengalpattu","Chengalpattu",16.585,1965,1919,0.977,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
